"","EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10"
"14",1.58970153473185,2.04970186052936,2.04753258377382,1.79203184629213,2.1719506806474,2.18885883387058,1.57319616660862,1,1.97473160950342,1.18559353401465,2.89035698808295,2.4919184133042,3.29290359677289,5,2.41010703522849,2.31370845634479,2.7892880407098,2.51029986936655,2.49170060010892,2.98895701577,3.10431918736116,2.66702099261391,2.85096265424454,3,2.81264364313116,2.94799111178768,3.00679317603133,2.6926001062377,2.93194880446649,2.55198185159228,2.45520123289589,2.09804901941361,2.89278854740566,2.35282022822541,1.27128813826821,1,2.91011813027169,2.43353002153642,2.21447744549748,2.87389930614365,3,3.26845808988267,3.48600568276745,3.30944198227526,3.11113161754313,3.46708284057618,3.20887964574419,2.62448926717486,3.46424570714527,3.36912672578658
"15",2.36979671027924,2.93132356680325,3.09264908634468,2.8323216801043,3.13215102870515,3.45082849078983,2.62935351020024,2,2.73213920347727,2.31160781815516,3.79333200215559,3.2730596670757,4.14950669370867,4,2.87491870784983,3.05067777796724,3.35264491580301,2.93382576507824,3.39175878274685,2.71178197948338,3.93046011003669,3.51318077261065,3.83241890605069,5,3.5735187887214,3.93123278057703,3.76772179376219,3.79234665101021,4.07146969078955,3.66982834833511,3.47396028799234,3.54901695677266,3.87021760529743,3.47113261159694,2.49289963341298,4,3.90892112109798,3.51408913023556,3.48999321153848,3.71690594840286,2,3.69121131930521,3.68972197656354,3.90968079723859,3.71218460277216,3.72847396670362,3.69195023245142,2.45311462908281,4.11187216806025,3.73159526433769
"16",2.57325928715514,2.77228834289761,3.1534525945198,2.5965112486086,3.09431492201849,3.31348708379165,2.49144852902715,2,2.47024395573286,2.1334316758038,3.39375464461142,2.66866473469202,3.89215849398062,3,2.61099961390648,2.8332372827645,3.15428913184567,2.71303469555844,2.83153426542125,2.49284608769531,4.01006547330113,3.89035199691445,4.21076088754105,4,3.7437215379231,3.96888533842288,3.62709876594389,4.05142339004205,3.8302373015418,3.6119073049845,3.6693914993305,3.89035690990482,4.41154724325555,4.04864797088981,3.31463052458867,5,3.84952684222183,3.6657846037327,3.64940022164114,3.51009727298743,3,3.68613121314807,3.81185679795131,3.4933914991385,3.57351863872967,3.8921644464348,3.87125012308076,2.73099344236994,4.27271251426812,3.57287095675894
"17",3.06803983866033,3.5941195304354,3.3280555672828,3.28773473137798,3.44817109878332,4.02853324574857,2.79205703745827,4,3.69363869145997,2.80939684051344,3.5432695118139,3.12555518521701,3.92694472070615,3,3.10863354164237,3.24776285376074,3.10643114863091,3.00623059725401,3.48848533551535,3.44526877532802,3.4472456425102,3.65023441464175,3.82699652547778,4,3.40559745960154,3.46757405271697,3.42713933363923,3.527210781216,3.52366540385557,3.69268082611932,3.4619812674858,3.08553713431236,4.06119130048609,3.80804714225364,2.83035983970479,5,3.44902643988601,3.26469507759857,2.98578669457833,3.78865572698577,2,4.46860359073847,4.40664980609395,4.33079220860994,4.16284825967842,4.52607509639058,4.48780989887063,4.03871523732397,4.50809344792322,4.30769354398612
"18",3.03125025027526,3.59242343991566,3.82642854255753,3.24892942495787,3.87600954521414,4.15378693296413,3.16963136367523,3,3.48950131037243,2.9153272838557,2.91091279496271,2.82223462266513,3.91130880144971,3,3.13434152925985,2.51666651943802,2.77079408623871,2.43279385215284,3.09745562028072,2.31457018855875,3.95136601940354,4.31084756478055,4.05256514622571,4,3.64931605657311,3.87344008331607,4.14986621761749,4.21327638128197,4.06902266189772,3.83129087083397,4.1897134928187,3.65318556132976,4.59379267324205,4.17739110363869,3.2330718429508,4,4.39400963431301,4.23017881064739,3.84789244998036,4.15316168191746,5,4.83217050670102,4.57469000348267,4.66902691148313,4.49190207217993,4.59212150949414,4.63417623051409,4.29429259161704,4.70935524201396,4.51312655339118
"19",1.46329559094997,2.31904307849832,2.45649572623072,1.73730057571768,2.3766128960575,2.53898623227581,1.71879435055374,1,2.13965651238224,1.65745399592929,1.28842515272837,1.00506860174277,2.02770436928084,4,0.680613949974516,0.88239507357293,1.16625761449522,0.663849351475508,1.02547089386487,0.724617925101141,2.21509311994297,2.57915245651128,2.3018644200504,1,2.4391504730706,2.25996329936642,2.59733391384644,2.25789189293222,2.44327763298039,2.33945565462501,2.11714623284067,1.93752490706541,2.62050466203465,2.0606663099528,1.41949841701173,2,2.17698379040542,2.46191436601985,2.05688312717035,2.21623278293234,2,2.46212621747023,2.50769722356809,2.46390067715618,2.42150670746654,2.58445446806466,2.65755726166706,1.46177657706528,2.48180917881157,2.48650339901807
"20",2.25619725304879,2.93597601448735,2.83984844163369,2.41880762007413,2.71769371057198,3.3595304944976,1.89860373807609,2,2.45980292100481,1.71840044298653,2.22039131975269,1.97931620173217,3.19828890568018,2,2.01948156823929,1.79828900302856,2.31847853489641,1.74115793246371,2.13801794850994,1.91781041673018,3.45955761523134,3.67720923165,3.1805139703172,4,3.65804638367412,3.33583834744022,3.55722191253404,3.31716850469164,3.65813287963276,3.33796432578265,2.2971067214969,1.26062535708139,3.14211303156952,2.3614588953882,1.29828441145741,1,2.71923927289663,2.64080280774356,2.09809622141176,2.77877120406436,5,3.47973175834473,3.696124953705,3.73995302162294,3.49893703678248,3.70062820124995,3.75789628506213,3.47953623820005,3.85953318120479,3.57847465339593
"21",1.64251318276966,1.92011191567035,2.3217685921496,1.82248044351169,2.08585974015331,2.50352821591776,1.83891342010203,1,1.61929456433336,1.2801399443998,2.60788077088956,1.68986577453307,3.22515581579201,2,1.78566986778076,1.82705846043816,2.20777867267126,1.70469440962842,2.04754287835337,1.42459834169351,2.98584929182793,3.12757150262293,3.29173107701423,4,3.13193092319823,3.30930011887886,3.06770826067834,3.4682085931523,3.36968086596485,2.92506930795586,2.94827638922682,3.1088895814747,3.64569513571654,2.99085037493899,2.46853285524381,4,3.19031734076219,2.96792267153688,3.0292484031434,2.86561094634024,2,2.9807861864599,2.80070540929667,3.00081859159315,2.80592988811768,2.88276093348583,3.14194314787614,1.74142294451139,3.42663378364647,2.82130313490229
"22",2.71322944271383,2.95343955747407,3.35415402264678,2.51461216606742,3.21568681786274,3.65428508599771,2.69362047624298,2,2.49138076913708,2.21501082684748,3.77349104283118,3.19202346943055,4.29290139688927,4,3.01456645471454,3.24992806975485,3.27149140718866,2.91187660668602,3.35053923020006,3.25214406861606,4.75198800150928,4.43629123853696,4.45415651603392,5,4.67222792209883,4.49387071747117,4.35538065895925,4.31113734502386,4.59334372546554,4.11179422860975,3.67623060797957,2.77398376691725,4.37786038118133,3.61629107120246,2.49751437342406,3,4.05173717224268,4.07526212472359,3.43197603401294,4.11293434094297,5,4.81363047241627,4.93320943265441,4.65282745268999,4.37564097703563,4.81382605303963,4.63581799259932,4.5713071216226,4.79435263500127,4.61319614798466
"23",3.68424571903933,3.82358631335902,3.96464053567125,3.58898083124746,3.94686773672467,4.13038801728471,3.60593925428028,3,3.86614719324916,3.22742259667628,3.74880774800658,3.41445793939511,4.40845338507508,5,3.80505604064503,3.33331082681117,3.69625769361375,3.17692811375706,3.62038293799807,3.45651744618706,4.02631216545291,4.32548197361773,4.50441041849379,3,4.265328633839,4.14148281890435,4.44034235419387,4.05153231126776,4.14272121096647,4.14880073494136,4.01245954518984,3.72507143757014,4.48569203446108,3.97442440489534,3.02661758694428,5,4.26958434953817,4.32674513997748,3.54384838029948,4.41415618426283,4,4.51934267894886,4.68951804145896,4.45142573788522,4.23139641389559,4.47102965712061,4.83210354462692,3.43029264011589,4.83482228647334,4.55029490478995
